club_id,club_name,league_id
1,1. FC Heidenheim 1846,22
2,1. FC Kaiserslautern,23
3,1. FC Köln,21
4,1. FC Magdeburg,23
5,1. FC Nürnberg,22
6,1. FC Saarbrücken,23
7,1. FC Union Berlin,21
8,1. FSV Mainz 05,21
9,AC Ajaccio,20
10,AC Horsens,12
11,AC Mineros de Guayana,52
12,AC Monza,27
13,AD Alcorcón,44
14,ADO Den Haag,25
15,AEK Athens,24
16,AFC Wimbledon,15
17,AIK,45
18,AJ Auxerre,20
19,AS Monaco,19
20,AS Nancy Lorraine,20
21,AS Saint-Étienne,19
22,AZ Alkmaar,25
23,Aalborg BK,12
24,Aalesunds FK,32
25,Aarhus GF,12
26,Aberdeen,41
27,Abha Club,40
28,Academica Clinceni,38
29,Accrington Stanley,15
30,Adelaide United,3
31,Ajax,25
32,Al Adalah,40
33,Al Ahli,40
34,Al Ain FC,48
35,Al Faisaly,40
36,Al Fateh,40
37,Al Fayha,40
38,Al Hazem,40
39,Al Hilal,40
40,Al Ittihad,40
41,Al Nassr,40
42,Al Raed,40
43,Al Shabab,40
44,Al Taawoun,40
45,Al Wehda,40
46,Alanyaspor,47
47,Albacete BP,44
48,Alianza Lima,34
49,Always Ready,30
50,Amiens SC,20
51,América de Cali,9
52,Angers SCO,19
53,Antalyaspor,47
54,Aragua FC,52
55,Argentinos Juniors,1
56,Arsenal,17
57,Arsenal de Sarandí,1
58,Aston Villa,17
59,Astra Giurgiu,38
60,Atalanta,26
61,Athletic Club de Bilbao,43
62,Atiker Konyaspor,47
63,Atlanta United,49
64,Atlético Clube Goianiense,6
65,Atlético Madrid,43
66,Atlético Mineiro,6
67,Atlético Nacional,9
68,Atlético Tucumán,1
69,Atlético de San Luis,31
70,Audax Italiano,7
71,BB Erzurumspor,47
72,BK Häcken,45
73,BSC Young Boys,46
74,Bahia,6
75,Barcelona Sporting Club,13
76,Barnsley,14
77,Barrow,16
78,Bayer 04 Leverkusen,21
79,Bayern München II,23
80,Beerschot AC,5
81,Beijing Sinobo Guoan FC,8
82,Benevento,26
83,Beşiktaş JK,47
84,Birmingham City,14
85,Blackburn Rovers,14
86,Blackpool,15
87,Boavista FC,36
88,Boca Juniors,1
89,Bohemian FC,37
90,Bologna,26
91,Bolton Wanderers,16
92,Borussia Dortmund,21
93,Borussia Mönchengladbach,21
94,Botafogo,6
95,Bournemouth,14
96,Bradford City,16
97,Brentford,14
98,Brescia,27
99,Brighton & Hove Albion,17
100,Brisbane Roar,3
101,Bristol City,14
102,Bristol Rovers,15
103,Brøndby IF,12
104,Burnley,17
105,Burton Albion,15
106,Busan IPark,29
107,C.D. Castellón,44
108,CA Osasuna,43
109,CD Huachipato,7
110,CD Leganés,44
111,CD Lugo,44
112,CD Mirandés,44
113,CD Nacional,36
114,CD Tenerife,44
115,CD Tondela,36
